Zip Code,City
55106,St. Paul
55044,Lakeville
55901,Rochester
55124,St. Paul
55303,Anoka
56001,Mankato
55304,Andover
55337,Burnsville
55379,Shakopee
55117,St. Paul
55112,St. Paul
55125,St. Paul
55104,St. Paul
55119,St. Paul
55330,Elk River
56560,Moorhead
55113,St. Paul
55407,Minneapolis
55110,St. Paul
55016,Cottage Grove
55311,Osseo
55369,Osseo
55423,Minneapolis
55024,Farmington
55082,Stillwater
55406,Minneapolis
56301,St. Cloud
55109,St. Paul
55433,Minneapolis
55416,Minneapolis
56601,Bemidji
55987,Winona
55372,Prior Lake
55443,Minneapolis
55434,Minneapolis
55428,Minneapolis
55432,Minneapolis
55122,St. Paul
55414,Minneapolis
55378,Savage
55408,Minneapolis
55411,Minneapolis
55068,Rosemount
55418,Minneapolis
55449,Minneapolis
55021,Faribault
55347,Eden Prairie
56401,Brainerd
55421,Minneapolis
55060,Owatonna
55033,Hastings
55912,Austin
55429,Minneapolis
55419,Minneapolis
55448,Minneapolis
55318,Chaska
55422,Minneapolis
55904,Rochester
55118,St. Paul
55128,St. Paul
55014,Circle Pines
55129,St. Paul
55404,Minneapolis
55811,Duluth
55123,St. Paul
55105,St. Paul
55126,St. Paul
55446,Minneapolis
55116,St. Paul
55343,Hopkins
55902,Rochester
56308,Alexandria
55426,Minneapolis
55417,Minneapolis
55427,Minneapolis
55412,Minneapolis
55025,Forest Lake
55313,Buffalo
55057,Northfield
56303,St. Cloud
56201,Willmar
55316,Champlin
55430,Minneapolis
55038,Hugo
55420,Minneapolis
55076,Inver Grove Heights
55447,Minneapolis
55317,Chanhassen
55305,Hopkins
56007,Albert Lea
55345,Minnetonka
55075,South St. Paul
56377,Sartell
55410,Minneapolis
55309,Big Lake
55744,Grand Rapids
55906,Rochester
55130,Saint Paul
55362,Monticello
55431,Minneapolis
56537,Fergus Falls
55331,Excelsior
55437,Minneapolis
55102,St. Paul
55066,Red Wing
55350,Hutchinson
55127,St. Paul
55441,Minneapolis
55346,Eden Prairie
55376,St. Michael
56501,Detroit Lakes
55803,Duluth
55444,Minneapolis
55720,Cloquet
55371,Princeton
56073,New Ulm
56379,Sauk Rapids
55746,Hibbing
55398,Zimmerman
55438,Minneapolis
56304,St. Cloud
55405,Minneapolis
55403,Minneapolis
55374,Rogers
55306,Burnsville
56258,Marshall
55804,Duluth
55391,Wayzata
56003,Mankato
56187,Worthington
55108,St. Paul
55008,Cambridge
55344,Eden Prairie
56345,Little Falls
55364,Mound
55107,St. Paul
55413,Minneapolis
55436,Minneapolis
55103,St. Paul
56082,St. Peter
55387,Waconia
55040,Isanti
55056,North Branch
55435,Minneapolis
55077,Inver Grove Heights
55442,Minneapolis
55445,Minneapolis
56071,New Prague
56701,Thief River Falls
56093,Waseca
55301,Albertville
56031,Fairmont
55042,Lake Elmo
55812,Duluth
55409,Minneapolis
55092,Wyoming
55425,Minneapolis
55401,Minneapolis
55011,Cedar
56721,East Grand Forks
55424,Minneapolis
56470,Park Rapids
55352,Jordan
55805,Duluth
55792,Virginia
56374,St. Joseph
55308,Becker
55328,Delano
55355,Litchfield
56011,Belle Plaine
56353,Milaca
55051,Mora
55063,Pine City
55439,Minneapolis
55386,Victoria
55806,Duluth
56716,Crookston
55340,Hamel
55807,Duluth
56649,International Falls
55115,St. Paul
55079,Stacy
56431,Aitkin
55454,Minneapolis
55121,St. Paul
56425,Baxter
55976,Stewartville
56472,Pequot Lakes
55336,Glencoe
56378,Sauk Centre
56320,Cold Spring
55070,St. Francis
55920,Byron
56347,Long Prairie
55009,Cannon Falls
55810,Duluth
55944,Kasson
55045,Lindstrom
56329,Foley
56387,Waite Park
55101,St. Paul
56265,Montevideo
55041,Lake City
55947,La Crescent
56482,Wadena
55616,Two Harbors
55302,Annandale
56367,Rice
55359,Maple Plain
55013,Chisago City
56267,Morris
55315,Carver
56573,Perham
55734,Eveleth
56283,Redwood Falls
56156,Luverne
56101,Windom
55388,Watertown
56081,St. James
55046,Lonsdale
56058,Le Sueur
55356,Long Lake
55963,Pine Island
56352,Melrose
56572,Pelican Rapids
56334,Glenwood
56364,Pierz
55455,Minneapolis
55071,St. Paul Park
55415,Minneapolis
56751,Roseau
55719,Chisholm
55808,Duluth
55069,Rush City
56164,Pipestone
55992,Zumbrota
56544,Frazee
55363,Montrose
55373,Rockford
55319,Clear Lake
56310,Avon
55321,Cokato
56307,Albany
55972,St. Charles
55733,Esko
56362,Paynesville
55731,Ely
55320,Clearwater
55358,Maple Lake
55120,St. Paul
56085,Sleepy Eye
56763,Warroad
56636,Deer River
56273,New London
55037,Hinckley
56549,Hawley
56633,Cass Lake
55325,Dassel
56464,Menahga
56069,Montgomery
56479,Staples
55327,Dayton
55767,Moose Lake
56215,Benson
56288,Spicer
55975,Spring Valley
56529,Dilworth
56013,Blue Earth
55921,Caledonia
56143,Jackson
55005,Bethel
55964,Plainview
56621,Bagley
56474,Pine River
55072,Sandstone
55923,Chatfield
55709,Bovey
55375,St. Bonifacius
55020,Elko
56048,Janesville
56468,Nisswa
55927,Dodge Center
56368,Richmond
56057,Le Center
55779,Saginaw
55055,Newport
56520,Breckenridge
56055,Lake Crystal
56514,Barnesville
56441,Crosby
55073,Scandia
55003,Bayport
55604,Grand Marais
55721,Cohasset
55322,Cologne
56241,Granite Falls
56360,Osakis
55917,Blooming Prairie
55981,Wabasha
56097,Wells
56359,Onamia
55043,Lakeland
55382,South Haven
55006,Braham
55349,Howard Lake
55934,Eyota
56024,Eagle Lake
55341,Hanover
55946,Kenyon
55032,Harris
55307,Arlington
56062,Madelia
55357,Loretto
55353,Kimball
56567,New York Mills
55705,Aurora
55360,Mayer
56473,Pillager
55397,Young America
56444,Deerwood
55960,Oronoco
55741,Gilbert
56358,Ogilvie
56484,Walker
56277,Olivia
55080,Stanchfield
56461,Laporte
55707,Barnum
55114,St. Paul
55718,Carlton
56373,Royalton
56087,Springfield
56671,Redlake
56172,Slayton
55943,Houston
56175,Tracy
55390,Waverly
55001,Afton
55354,Lester Prairie
55760,Mcgregor
56547,Glyndon
56063,Madison Lake
56466,Motley
55027,Goodhue
56557,Mahnomen
56435,Backus
56477,Sebeka
55971,Rushford
55952,Lewiston
56278,Ortonville
56150,Lakefield
56442,Crosslake
56623,Baudette
56554,Lake Park
56438,Browerville
56515,Battle Lake
55940,Hayfield
56467,Nevis
56096,Waterville
55768,Mountain Iron
56065,Mapleton
55334,Gaylord
56220,Canby
56159,Mountain Lake
55049,Medford
55955,Mantorville
56361,Parkers Prairie
56342,Isle
55389,Watkins
55395,Winsted
56542,Fosston
56209,Atwater
55054,New Market
56312,Belgrade
56762,Warren
55802,Duluth
56481,Verndale
55769,Nashwauk
56232,Dawson
55783,Sturgeon Lake
56510,Ada
56750,Red Lake Falls
55007,Brook Park
56381,Starbuck
55965,Preston
55047,Marine On St. Croix
56340,Holdingford
55614,Silver Bay
56331,Freeport
56256,Madison
55974,Spring Grove
55074,Shafer
55750,Hoyt Lakes
56131,Fulda
56222,Clara City
55396,Winthrop
56465,Merrifield
56072,New Richland
56284,Renville
56551,Henning
56264,Minneota
56630,Blackduck
56044,Henderson
55019,Dundas
55956,Mazeppa
56208,Appleton
55959,Minnesota City
56088,Truman
56128,Edgerton
55723,Cook
56098,Winnebago
55932,Elgin
56449,Fort Ripley
55949,Lanesboro
56511,Audubon
55381,Silver Lake
56672,Remer
55012,Center City
55384,Spring Park
55939,Harmony
55332,Fairfax
55329,Eden Valley
56540,Fertile
56531,Elbow Lake
56589,Waubun
56074,Nicollet
55052,Morristown
56586,Underwood
56315,Brandon
56026,Ellendale
56243,Grove City
55084,Taylors Falls
56452,Hackensack
55795,Willow River
56446,Eagle Bend
55790,Tower
56571,Ottertail
55368,Norwood
55342,Hector
56296,Wheaton
55936,Grand Meadow
56036,Glenville
56326,Evansville
56229,Cottonwood
56178,Tyler
56634,Clearbrook
55088,Webster
56528,Dent
55985,West Concord
56017,Cleveland
55031,Hampton
55735,Finlayson
56330,Foreston
56678,Solway
56676,Shevlin
56475,Randall
55983,Wanamingo
56244,Hancock
56726,Greenbush
55771,Orr
56455,Ironton
55706,Babbitt
56563,Moorhead
56338,Hillman
56321,Collegeville
56110,Adrian
56332,Garfield
55089,Welch
56171,Sherburn
56336,Grey Eagle
55335,Gibbon
56628,Bigfork
56037,Good Thunder
56433,Akeley
55991,Zumbro Falls
55312,Brownton
56266,Morgan
55775,Pengilly
56282,Raymond
55951,Le Roy
55751,Iron
55748,Hill City
55909,Adams
56009,Alden
56655,Longville
56316,Brooten
56738,Newfolden
55732,Embarrass
55736,Floodwood
56223,Clarkfield
56309,Ashby
56443,Cushing
56354,Miltona
55945,Kellogg
56152,Lamberton
56437,Bertha
55310,Bird Island
56440,Clarissa
55797,Wrenshall
56357,Oak Park
56584,Twin Valley
56314,Bowlus
55030,Grasston
55954,Mabel
56382,Swanville
56183,Westbrook
56271,Murdock
56534,Erhard
56050,Kasota
56115,Balaton
56319,Carlos
56136,Hendricks
55065,Randolph
55710,Britt
55385,Stewart
56535,Erskine
56181,Welcome
56653,Littlefork
56569,Ogema
55929,Dover
56587,Vergas
56556,Mcintosh
55924,Claremont
56580,Sabin
56293,Wabasso
56670,Redby
56728,Hallock
56252,Kerkhoven
56279,Pennock
56714,Badger
55910,Altura
55324,Darwin
56270,Morton
55925,Dakota
56666,Ponemah
55753,Keewatin
56010,Amboy
56149,Lake Benton
56570,Osage
56324,Dalton
55941,Hokah
56180,Walnut Grove
55979,Utica
56579,Rothsay
55338,Green Isle
56285,Sacred Heart
55713,Buhl
56144,Jasper
56219,Browns Valley
55967,Racine
56585,Ulen
56021,Courtland
56137,Heron Lake
55969,Rollingstone
56041,Hanska
56028,Elysian
55704,Askov
56119,Brewster
56732,Karlstad
56339,Hoffman
55314,Buffalo Lake
56054,Lafayette
56138,Hills
55970,Rose Creek
55919,Brownsville
56450,Garrison
56318,Burtrum
56469,Palisade
56176,Trimont
55053,Nerstrand
55922,Canton
55367,New Germany
56661,Northome
56650,Kelliher
55726,Cromwell
55990,Wykoff
56260,Maynard
56142,Ivanhoe
56120,Butterfield
55918,Brownsdale
55339,Hamburg
56713,Argyle
56039,Granada
56527,Deer Creek
55018,Dennison
56686,Williams
56253,Lake Lillian
56068,Minnesota Lake
56343,Kensington
55935,Fountain
56725,Goodridge
56385,Villard
55703,Angora
56228,Cosmos
56045,Hollandale
56016,Clarks Grove
56727,Grygla
56742,Oklee
56757,Stephen
56240,Graceville
56723,Fisher
56576,Richville
56251,Kandiyohi
56647,Hines
56667,Puposky
56129,Ellsworth
55017,Dalbo
56297,Wood Lake
55722,Coleraine
56327,Farwell
56375,St. Stephen
56083,Sanborn
55953,Lyle
55765,Meadowlands
56042,Hartland
56349,Lowry
55962,Peterson
56230,Danube
56736,Mentor
55781,Side Lake
55957,Millville
56521,Callaway
56221,Chokio
56248,Herman
56578,Rochert
56453,Hewitt
56737,Middle River
56019,Comfrey
56168,Rushmore
55926,Dexter
56080,St. Clair
56311,Barrett
56548,Halstad
56051,Kiester
56157,Lynd
56447,Emily
55333,Franklin
55724,Cotton
56151,Lake Wilson
56262,Milan
56735,Lancaster
56524,Clitherall
56216,Blomkest
56386,Wahkon
56566,Naytahwaush
56245,Hanley Falls
56289,Sunburg
55793,Warba
56169,Russell
56116,Beaver Creek
56756,Salol
56225,Clinton
56167,Round Lake
56014,Bricelyn
56644,Gonvick
56281,Prinsburg
56214,Belview
56575,Ponsford
55757,Kettle River
56239,Ghent
56591,White Earth
56355,Nelson
56545,Gary
56090,Vernon Center
55708,Biwabik
56292,Vesta
55787,Tamarack
55605,Grand Portage
56734,Lake Bronson
56170,Ruthton
56122,Chandler
55712,Bruno
55798,Wright
55402,Minneapolis
56052,Kilkenny
56237,Echo
56748,Plummer
56029,Emmons
56683,Tenstrike
56121,Ceylon
56027,Elmore
55738,Forbes
56651,Lengby
56323,Cyrus
55370,Plato
56369,Rockville
56257,Marietta
55982,Waltham
55711,Brookston
56754,St. Hilaire
56552,Hitterdal
55961,Ostrander
56212,Bellingham
56078,Pemberton
56744,Oslo
56185,Wilmont
56023,Delavan
56562,Moorhead
56155,Lismore
56235,Donnelly
56662,Outing
56673,Roosevelt
56025,Easton
55763,Makinen
56127,Dunnell
55026,Frontenac
56118,Bingham Lake
55814,Duluth
55366,New Auburn
56211,Beardsley
55782,Soudan
55612,Lutsen
55749,Holyoke
56280,Porter
56060,Lewisville
55764,Marble
56132,Garvin
56652,Leonard
56592,Winger
56218,Boyd
56760,Viking
55087,Warsaw
55702,Alborn
56522,Campbell
56263,Milroy
56594,Wolverton
56043,Hayward
55085,Vermillion
56710,Alvarado
56139,Holland
55752,Jacobson
56523,Climax
56448,Fifty Lakes
56145,Jeffers
56291,Taunton
56646,Gully
56588,Vining
56761,Wannaska
56639,Effie
56458,Lake George
56641,Federal Dam
56033,Frost
56035,Geneva
56518,Bluffton
56186,Woodstock
56255,Lucan
56134,Hardwick
56111,Alpha
55931,Eitzen
56350,Mc Grath
55090,Willernie
56174,Storden
56231,Danvers
56733,Kennedy
56684,Trail
56590,Wendell
56117,Bigelow
56123,Currie
56236,Dumont
56722,Euclid
55603,Finland
56034,Garden City
56114,Avoca
56161,Okabena
56032,Freeborn
56165,Reading
56158,Magnolia
56516,Bejou
56224,Clements
56536,Felton
56759,Strathcona
56376,St. Martin
56384,Upsala
56295,Watson
56141,Iona
55602,Brimson
56249,Holloway
56550,Hendrum
55615,Tofte
56533,Elizabeth
56758,Strandquist
55716,Calumet
55717,Canyon
55785,Swatara
56227,Correll
55780,Sawyer
56715,Brooks
56356,New Munich
56519,Borup
56091,Waldorf
55756,Kerrick
56517,Beltrami
56089,Twin Lakes
56574,Perley
56681,Squaw Lake
56581,Shelly
56543,Foxhome
56173,Steen
56335,Greenwald
56660,Mizpah
56160,Odin
56113,Arco
56434,Aldrich
56162,Ormsby
55786,Taconite
56274,Norcross
55933,Elkton
55973,Sargeant
56363,Pease
55613,Schroeder
55607,Isabella
56627,Big Falls
56626,Bena
56226,Clontarf
56669,Ray
56207,Alberta
56546,Georgetown
56166,Revere
56553,Kent
