Zip Code,City
55001,Afton
55003,Bayport
55005,Bethel
55006,Braham
55007,Brook Park
55008,Cambridge
55009,Cannon Falls
55011,Cedar
55012,Center City
55013,Chisago City
55014,Circle Pines
55016,Cottage Grove
55017,Dalbo
55018,Dennison
55019,Dundas
55020,Elko
55021,Faribault
55024,Farmington
55025,Forest Lake
55026,Frontenac
55027,Goodhue
55030,Grasston
55031,Hampton
55032,Harris
55033,Hastings
55037,Hinckley
55038,Hugo
55040,Isanti
55041,Lake City
55042,Lake Elmo
55043,Lakeland
55044,Lakeville
55045,Lindstrom
55046,Lonsdale
55047,Marine On St. Croix
55049,Medford
55051,Mora
55052,Morristown
55053,Nerstrand
55054,New Market
55055,Newport
55056,North Branch
55057,Northfield
55060,Owatonna
55063,Pine City
55065,Randolph
55066,Red Wing
55068,Rosemount
55069,Rush City
55070,St. Francis
55071,St. Paul Park
55072,Sandstone
55073,Scandia
55074,Shafer
55075,South St. Paul
55076,Inver Grove Heights
55077,Inver Grove Heights
55079,Stacy
55080,Stanchfield
55082,Stillwater
55084,Taylors Falls
55085,Vermillion
55087,Warsaw
55088,Webster
55089,Welch
55090,Willernie
55092,Wyoming
55101,St. Paul
55102,St. Paul
55103,St. Paul
55104,St. Paul
55105,St. Paul
55106,St. Paul
55107,St. Paul
55108,St. Paul
55109,St. Paul
55110,St. Paul
55112,St. Paul
55113,St. Paul
55114,St. Paul
55115,St. Paul
55116,St. Paul
55117,St. Paul
55118,St. Paul
55119,St. Paul
55120,St. Paul
55121,St. Paul
55122,St. Paul
55123,St. Paul
55124,St. Paul
55125,St. Paul
55126,St. Paul
55127,St. Paul
55128,St. Paul
55129,St. Paul
55130,Saint Paul
55301,Albertville
55302,Annandale
55303,Anoka
55304,Andover
55305,Hopkins
55306,Burnsville
55307,Arlington
55308,Becker
55309,Big Lake
55310,Bird Island
55311,Osseo
55312,Brownton
55313,Buffalo
55314,Buffalo Lake
55315,Carver
55316,Champlin
55317,Chanhassen
55318,Chaska
55319,Clear Lake
55320,Clearwater
55321,Cokato
55322,Cologne
55324,Darwin
55325,Dassel
55327,Dayton
55328,Delano
55329,Eden Valley
55330,Elk River
55331,Excelsior
55332,Fairfax
55333,Franklin
55334,Gaylord
55335,Gibbon
55336,Glencoe
55337,Burnsville
55338,Green Isle
55339,Hamburg
55340,Hamel
55341,Hanover
55342,Hector
55343,Hopkins
55344,Eden Prairie
55345,Minnetonka
55346,Eden Prairie
55347,Eden Prairie
55349,Howard Lake
55350,Hutchinson
55352,Jordan
55353,Kimball
55354,Lester Prairie
55355,Litchfield
55356,Long Lake
55357,Loretto
55358,Maple Lake
55359,Maple Plain
55360,Mayer
55362,Monticello
55363,Montrose
55364,Mound
55366,New Auburn
55367,New Germany
55368,Norwood
55369,Osseo
55370,Plato
55371,Princeton
55372,Prior Lake
55373,Rockford
55374,Rogers
55375,St. Bonifacius
55376,St. Michael
55378,Savage
55379,Shakopee
55381,Silver Lake
55382,South Haven
55384,Spring Park
55385,Stewart
55386,Victoria
55387,Waconia
55388,Watertown
55389,Watkins
55390,Waverly
55391,Wayzata
55395,Winsted
55396,Winthrop
55397,Young America
55398,Zimmerman
55401,Minneapolis
55402,Minneapolis
55403,Minneapolis
55404,Minneapolis
55405,Minneapolis
55406,Minneapolis
55407,Minneapolis
55408,Minneapolis
55409,Minneapolis
55410,Minneapolis
55411,Minneapolis
55412,Minneapolis
55413,Minneapolis
55414,Minneapolis
55415,Minneapolis
55416,Minneapolis
55417,Minneapolis
55418,Minneapolis
55419,Minneapolis
55420,Minneapolis
55421,Minneapolis
55422,Minneapolis
55423,Minneapolis
55424,Minneapolis
55425,Minneapolis
55426,Minneapolis
55427,Minneapolis
55428,Minneapolis
55429,Minneapolis
55430,Minneapolis
55431,Minneapolis
55432,Minneapolis
55433,Minneapolis
55434,Minneapolis
55435,Minneapolis
55436,Minneapolis
55437,Minneapolis
55438,Minneapolis
55439,Minneapolis
55441,Minneapolis
55442,Minneapolis
55443,Minneapolis
55444,Minneapolis
55445,Minneapolis
55446,Minneapolis
55447,Minneapolis
55448,Minneapolis
55449,Minneapolis
55454,Minneapolis
55455,Minneapolis
55602,Brimson
55603,Finland
55604,Grand Marais
55605,Grand Portage
55607,Isabella
55612,Lutsen
55613,Schroeder
55614,Silver Bay
55615,Tofte
55616,Two Harbors
55702,Alborn
55703,Angora
55704,Askov
55705,Aurora
55706,Babbitt
55707,Barnum
55708,Biwabik
55709,Bovey
55710,Britt
55711,Brookston
55712,Bruno
55713,Buhl
55716,Calumet
55717,Canyon
55718,Carlton
55719,Chisholm
55720,Cloquet
55721,Cohasset
55722,Coleraine
55723,Cook
55724,Cotton
55726,Cromwell
55731,Ely
55732,Embarrass
55733,Esko
55734,Eveleth
55735,Finlayson
55736,Floodwood
55738,Forbes
55741,Gilbert
55744,Grand Rapids
55746,Hibbing
55748,Hill City
55749,Holyoke
55750,Hoyt Lakes
55751,Iron
55752,Jacobson
55753,Keewatin
55756,Kerrick
55757,Kettle River
55760,Mcgregor
55763,Makinen
55764,Marble
55765,Meadowlands
55767,Moose Lake
55768,Mountain Iron
55769,Nashwauk
55771,Orr
55775,Pengilly
55779,Saginaw
55780,Sawyer
55781,Side Lake
55782,Soudan
55783,Sturgeon Lake
55785,Swatara
55786,Taconite
55787,Tamarack
55790,Tower
55792,Virginia
55793,Warba
55795,Willow River
55797,Wrenshall
55798,Wright
55802,Duluth
55803,Duluth
55804,Duluth
55805,Duluth
55806,Duluth
55807,Duluth
55808,Duluth
55810,Duluth
55811,Duluth
55812,Duluth
55814,Duluth
55901,Rochester
55902,Rochester
55904,Rochester
55906,Rochester
55909,Adams
55910,Altura
55912,Austin
55917,Blooming Prairie
55918,Brownsdale
55919,Brownsville
55920,Byron
55921,Caledonia
55922,Canton
55923,Chatfield
55924,Claremont
55925,Dakota
55926,Dexter
55927,Dodge Center
55929,Dover
55931,Eitzen
55932,Elgin
55933,Elkton
55934,Eyota
55935,Fountain
55936,Grand Meadow
55939,Harmony
55940,Hayfield
55941,Hokah
55943,Houston
55944,Kasson
55945,Kellogg
55946,Kenyon
55947,La Crescent
55949,Lanesboro
55951,Le Roy
55952,Lewiston
55953,Lyle
55954,Mabel
55955,Mantorville
55956,Mazeppa
55957,Millville
55959,Minnesota City
55960,Oronoco
55961,Ostrander
55962,Peterson
55963,Pine Island
55964,Plainview
55965,Preston
55967,Racine
55969,Rollingstone
55970,Rose Creek
55971,Rushford
55972,St. Charles
55973,Sargeant
55974,Spring Grove
55975,Spring Valley
55976,Stewartville
55979,Utica
55981,Wabasha
55982,Waltham
55983,Wanamingo
55985,West Concord
55987,Winona
55990,Wykoff
55991,Zumbro Falls
55992,Zumbrota
56001,Mankato
56003,Mankato
56007,Albert Lea
56009,Alden
56010,Amboy
56011,Belle Plaine
56013,Blue Earth
56014,Bricelyn
56016,Clarks Grove
56017,Cleveland
56019,Comfrey
56021,Courtland
56023,Delavan
56024,Eagle Lake
56025,Easton
56026,Ellendale
56027,Elmore
56028,Elysian
56029,Emmons
56031,Fairmont
56032,Freeborn
56033,Frost
56034,Garden City
56035,Geneva
